College,,Location
"The British College, Kathmandu",,Trade Tower
Valley College of Engineering,,
Kathmandu Engineering College,,Ganeshman Singh Rd
Kantipur Engineering College,,
Lalitpur Engineering College,,
Nepal College of Information Technology,,Balkumari Rd
Himalaya College of Engineering,,Chyasal-9
Hillside College of Engineering,,Kriti Marg
Asian Engineering College,,
Everest Engineering College,,Sanepa 2
National College Of Engineering(Affiliated to Tribhuvan University),,Tikabhairab Sadak
Universal Engineering & Science College / युनिभर्सल इन्जिनियरिङ एण्ड साइन्स कलेज,,
Nepal Engineering College,,Bhaktapur Road
ACME Engineering College,,"Sitapaila, म्युजियम मार्ग"
"Kathford International College of Engineering & Management, IT and Management Block",,
"IOE, Pulchowk Campus",,
Ritz College of Engineering and Management,,
Aryan School of Engineering & Management,,Devkota Sadak
College of Information Technology and Engineering,,
Himalayan Institute of Science & Technology,,
"Janakpur Engineering College, City Office",,
"Janakpur Engineering College, City Office",,
Balaju School Of Engineering & Technology,,
एक्मि कलेज अफ इन्जिनियरिङ,,Booth Marg
Thapathali Campus,,
Sagarmatha Engineering College,,
Kathford College of Engineering & Management,,
Advanced College of Engineering & Management,,Kupondole Road
Asian engineering college,,"Unnamed Road, 44700, 44700"
OXFORD ADVANCE ENGINEERING COLLEGE,,
College of Biomedical Engineering and Applied Sciences,,हाँडीगाउँ मार्ग
Nepal Engineering College - BDH,,City Office
Himalayan College of Geomatic Engineering,,
Cosmos College of Management and Technology,,Satdobato-Tikabhairab Rd
Kumari Engineering College,,Boudha Rd
Kantipur International College,,
Everest Engineering & Management College,,Pawan Marg
Sagarmatha Engineering College,,
School of Geomatics,,Sinamangal Rd Basuki Marga
HIMALAYAN COLLEGE OF GEOMATIC ENGINEERING AND LAND RESOURCES MANAGEMENT,,
Janakpur Engineering College,,Bhaktapur Nala Rd
Central Engineering Campus,,
Kantipur International College,,F072
Kathford college of Engineering & management,,
College of Nepal Software Engineering,,Jamal Rd
Khwopa College of Engineering,,
मोर्गन इन्जिनियरिङ र व्यवस्थापन कलेज,,Bashundhara Ring Rd Track S
Oxford Advanced Engineering College(Affiliated To CTEVT),,Lincoln Marg
Kantipur City College,,Lalupate Marga
Kantipur Engineering College,,New Rd
Khwopa Engineering College 'C' Block,,
Nepal Engineering College (nec-CPS),,Prayag Pokhari Marg
Everest Engineering College,,
Kathford Int'l College,,Ring Road
Janakpur Engineering College Thimi,,
Kathmandu University,,Kathmandu University
"Thapathali Engineering Campus, TU",,
Kathmandu Forestry College,,
"Exam Control Office, Institute Of Engineering (pangre ghar)",,
Asian Institute of Technology and Management,,Godawari Sadak
Nepal Engineering College (nec-BDH),,
Academy for IT Engineering,,Ganeshthan 200 Meter behind kamaladi Ganesh Mandir.
Asian College of Management & Technology,,मिनभवन मार्ग
KHWOPA POLY-TECHNIC INSTITUTE ENGINEERING DEPARTMENT,,
"Nepal Engineering College, Department of Electronics and Communication Engineering, (BLOCK 'B')",,Administrative Block B
HIMALAYAN COLLEGE OF GEOMATIC ENGINEERING AND LAND RESOURCES MANAGEMENT(GIT),,
The Valley College Engineering,,Bal Kumari Marg
Himalayan WhiteHouse International College,,"ramshahpath, Putalisadak"
Tribhuvan University,,TU Rd
